episode,step,reward
87,6,0.151202
87,7,0.014025
87,8,0.099806
87,9,0.041673
87,10,0.057794
87,11,0.173854
87,12,0.091576
87,13,0.089640
87,14,0.109624
87,15,0.106392
88,1,0.116367
88,2,0.205959
88,3,0.144206
88,4,0.141933
88,5,0.118156
88,6,0.173854
88,7,0.066594
88,8,0.101659
88,9,0.072251
88,10,0.147590
88,11,0.155832
88,12,0.058382
88,13,0.175367
88,14,0.136081
88,15,0.202455
89,1,0.147546
89,2,0.068656
89,3,0.033806
89,4,0.146201
89,5,0.052814
89,6,0.122390
89,7,0.142034
89,8,0.121358
89,9,0.012228
89,10,0.155264
89,11,0.118170
89,12,0.060757
89,13,0.111409
89,14,0.054737
89,15,0.095719
90,1,0.116367
90,2,0.055231
90,3,0.269403
90,4,0.131095
90,5,0.128798
90,6,0.163360
90,7,0.205406
90,8,0.089653
90,9,0.152746
90,10,0.124243
90,11,0.160417
90,12,0.099223
90,13,0.099636
90,14,0.203046
90,15,0.198914
91,1,0.083229
91,2,0.014178
91,3,0.035012
91,4,0.167410
91,5,0.151815
91,6,0.031838
91,7,0.101785
91,8,0.181325
91,9,0.142830
91,10,0.044987
91,11,0.088806
91,12,0.091883
91,13,0.053531
91,14,0.037885
91,15,0.139742
92,1,0.147546
92,2,0.147643
92,3,0.095175
92,4,0.145503
92,5,0.016850
92,6,0.151202
92,7,0.072009
92,8,0.083767
92,9,0.077334
92,10,0.139713
92,11,0.099043
92,12,0.074782
92,13,0.007528
92,14,0.131991
92,15,0.059797
93,1,0.163360
93,2,0.114058
93,3,0.173549
93,4,0.033806
93,5,0.140176
93,6,0.151202
93,7,0.068728
93,8,0.120182
93,9,0.111018
93,10,0.104564
93,11,0.173854
93,12,0.166343
93,13,0.110930
93,14,0.074582
93,15,0.073532
94,1,0.106571
94,2,0.150453
94,3,0.092135
94,4,0.251911
94,5,0.087852
94,6,0.051465
94,7,0.158584
94,8,0.202858
94,9,0.107255
94,10,0.129142
94,11,0.116367
94,12,0.140367
94,13,0.130726
94,14,0.138738
94,15,0.139978
95,1,0.031838
95,2,0.055685
95,3,0.072631
95,4,0.057674
95,5,0.148273
95,6,0.051465
95,7,0.151202
95,8,0.128885
95,9,0.179146
95,10,0.173964
95,11,0.112147
95,12,0.093628
95,13,0.103139
95,14,0.145758
95,15,0.148322
96,1,0.140018
96,2,0.072785
96,3,0.035012
96,4,0.124935
96,5,0.073914
96,6,0.064317
96,7,0.082527
96,8,0.017094
96,9,0.136272
96,10,0.136892
96,11,0.086656
96,12,0.027873
96,13,0.153695
96,14,0.069423
96,15,0.163942
97,1,0.118170
97,2,0.148365
97,3,0.218742
97,4,0.135084
97,5,0.207335
97,6,0.098404
97,7,0.099043
97,8,0.007528
97,9,0.090215
97,10,0.067612
97,11,0.163360
97,12,0.208005
97,13,0.161675
97,14,0.102179
97,15,0.023467
98,1,0.072631
98,2,0.174161
98,3,0.140222
98,4,0.123330
98,5,0.064332
98,6,0.137177
98,7,0.119814
98,8,0.164285
98,9,0.130919
