Timestamp,Edge Device 1,Edge Device 2,Edge Device 3,Edge Device 4,Edge Device 5
1804011340,3,4,1,3,0
1804011341,3,3,2,3,0
1804011342,3,4,2,3,0
1804011343,3,4,2,3,0
1804011344,3,4,2,3,0
1804011345,3,4,1,3,0
1804011346,3,3,2,3,0
1804011347,2,3,2,3,0
1804011348,1,3,2,3,0
1804011349,1,3,1,3,0
1804011350,2,3,1,3,0
1804011351,2,3,1,3,0
1804011352,3,3,2,3,0
1804011353,2,3,2,3,0
1804011354,2,3,2,4,0
1804011355,3,3,2,4,0
1804011356,2,3,2,4,0
1804011357,2,3,2,4,0
1804011358,3,3,2,4,0
1804011359,3,3,2,4,0
1804011400,2,3,1,4,0
1804011401,2,4,2,4,0
1804011402,2,4,2,4,0
1804011403,2,4,2,3,0
1804011404,2,4,2,4,1
1804011405,2,4,2,4,1
1804011406,2,4,2,3,1
1804011407,2,4,2,4,1
1804011408,2,4,2,4,1
1804011409,2,4,2,4,0
1804011410,2,4,2,4,0
1804011411,2,4,2,3,0
1804011412,2,4,2,4,0
1804011413,2,4,2,3,0
1804011414,2,4,2,3,0
1804011415,2,4,2,3,0
1804011416,2,4,1,3,0
1804011417,2,4,1,3,0
1804011418,2,4,1,3,0
1804011419,2,4,1,3,1
1804011420,2,4,1,3,1
1804011421,2,4,1,3,1
1804011422,2,4,1,3,1
1804011423,2,4,1,3,1
1804011424,2,4,1,3,1
1804011425,2,4,1,4,0
1804011426,2,4,1,4,0
1804011427,3,4,1,4,0
1804011428,2,4,1,4,0
1804011429,2,4,1,3,0
1804011430,2,4,2,4,0
1804011431,2,4,2,4,0
1804011432,2,4,2,3,0
1804011433,2,4,2,3,0
1804011434,2,4,2,3,0
1804011435,2,4,2,3,0
1804011436,2,4,1,3,0
1804011437,2,4,1,3,1
1804011438,2,4,1,3,1
1804011439,2,4,1,3,0
1804011440,2,4,1,3,0
1804011441,2,4,1,3,0
1804011442,2,4,1,3,0
1804011443,2,4,1,3,0
1804011444,2,4,1,3,0
1804011445,2,4,1,3,0
1804011446,3,4,1,3,0
1804011447,3,3,1,4,0
1804011448,3,4,1,4,0
1804011449,2,3,1,4,0
1804011450,2,4,1,4,0
1804011451,2,4,1,4,0
1804011452,2,4,1,4,0
1804011453,2,4,1,4,0
1804011454,2,4,1,4,0
1804011455,2,4,1,4,0
1804011456,2,4,1,4,0
1804011457,2,4,1,4,0
1804011458,2,4,1,3,0
1804011459,2,4,2,3,0
1804011500,2,4,2,3,0
1804011501,2,4,2,3,0
1804011502,2,4,2,3,0
1804011503,2,4,2,3,0
1804011504,2,4,2,3,0
1804011505,2,4,2,3,0
1804011506,2,4,1,3,0
1804011507,1,4,2,3,0
1804011508,2,4,2,3,0
1804011509,2,4,2,4,0
1804011510,2,4,2,3,0
1804011511,2,4,1,3,0
1804011512,2,4,1,3,0
1804011513,2,4,1,3,0
1804011514,2,4,1,4,0
1804011515,2,4,1,4,0
